data_coleta;ticker;descricao;patrimonio;p_vp;dy;dy_5anos;liquidez;tipo;segmento
2026-04-24;URPR11;Urca Prime Renda;1,21 B;0,31;15,22;16,0;517,37 K;Fundo de Papel;Outros
2026-04-24;MCRE11;Mauá Capital Real Estate;1,14 B;0,95;13,54;12,94;3,07 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;XPIE11;Xp Infra Ii Fdo De Inv Part Ie;1,12 B;0,67;13,12;8,26;1,08 M;Outro;Fundo de Investimentos em Participações (FIP)
2026-04-24;BRZP11;Brz Infra Portos Fdo, Inv. Em Part. Infraestrutura;1,11 B;0,89;;;1,55 M;Outro;Fundo de Investimentos em Participações (FIP)
2026-04-24;CPSH11;Shoppings Aaa Fdo De Inv Imob;1,09 B;0,92;12,31;10,07;5,15 M;Fundo de Tijolo;Shoppings / Varejo
2026-04-24;VGIP11;Valora Cri Índice De Preço;1,07 B;0,9;13,5;13,07;2,51 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;DIVS11;Sparta Infra Inflação Longa Fi-Infra;1,04 B;1,06;13,43;11,7;559,71 K;Fundo de Desenvolvimento;Fundo de Infraestrutura (FI-Infra)
2026-04-24;VGIA11;Valora Cra Fdo Inv Nas Cad Prod Agro;1,02 B;1,02;16,55;15,91;2,91 M;Outro;Fiagros
2026-04-24;KORE11;Kinea Oportunidades Real Estate;1,02 B;0,69;17,72;11,7;2,08 M;Fundo de Tijolo;Lajes Corporativas
2026-04-24;IFRI11;Itaú Fic Fi Invest Finan Infra Cdi Rf Cp;1,02 B;1,0;14,41;10,8;1,15 M;Outro;Fundo de Infraestrutura (FI-Infra)
2026-04-24;KNOX11;Knox Debt Fdo. Invest. Part. Infraestrutura;1,01 B;1,02;5,54;4,97;445,61 K;Outro;Fundo de Investimentos em Participações (FIP)
2026-04-24;BTCI11;Fii Btg Pactual Fundo De Cri;1,00 B;0,93;12,34;10,46;2,04 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;RBRP11;Rbr Properties;999,46 M;0,63;9,24;8,33;1,44 M;Fundo de Tijolo;Outros
2026-04-24;JCCJ11;Jhsf Capital Jardins;983,48 M;0,8;7,11;2,38;292,83 K;Fundo de Fundos;Fundo de Fundos
2026-04-24;BBIG11;Fii Bbig;946,52 M;0,74;13,52;10,68;740,76 K;Fundo de Tijolo;Shoppings / Varejo
2026-04-24;BPML11;Btg Pactual Shoppings;925,93 M;0,76;15,18;8,35;8,50 M;Fundo de Tijolo;Shoppings / Varejo
2026-04-24;SNEL11;Suno Energias Limpas;899,33 M;1,05;14,05;10,09;3,92 M;Outro;Outros
2026-04-24;VINO11;Vinci Offices;816,54 M;0,51;12,03;9,98;631,98 K;Fundo de Tijolo;Lajes Corporativas
2026-04-24;RZAK11;Riza Akin;778,30 M;0,97;15,59;14,98;1,39 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;HABT11;Habitat Ii;777,11 M;0,81;15,78;14,84;1,06 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;PQAG11;Parque Anhanguera;776,19 M;0,97;10,65;8,98;685,48 K;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-04-24;XPCI11;Xp Credito Imobiliário;771,39 M;0,95;12,99;12,51;1,74 M;Fundo de Papel;Títulos e Valores Mobiliários
